name;pal
Anopheles arabiensis;#00BCD7
Anopheles gambiae;#8494FF
Anopheles funestus;#CD9600
Anopheles nili;#00BADF
Anopheles moucheti;#E08A00
Anopheles melas;#6CB100
Anopheles merus;#D49200
Anopheles carnevalei;#00A5FF
Anopheles albimanus;#FB727B
Anopheles darlingi;#A1A600
Anopheles aquasalis;#00B930
Anopheles albitarsis;indianred4
Anopheles nuneztovari;#00BECE
Anopheles quadrimaculatus;#C77CFF
Anopheles freeborni;#00AEFA
Anopheles aconitus;#F47A5D
Anopheles maculatus;#F862DE
Anopheles barbirostris;skyblue
Anopheles flavirostris;#F365E6
Anopheles sundaicus;#00BE67
Anopheles sinensis;springgreen
Anopheles harrisoni;#6B9AFF
Anopheles dirus;#96A900
Anopheles minimus;#FC61D5
Anopheles balabacensis;#7CAE00
Anopheles stephensi;#ABA300
Anopheles anthropophagus;#0CB702
Anopheles baimaii;gold
Anopheles leucosphyrus;#AA88FF
Anopheles cracens;chartreuse
Anopheles fluviatilis;#00C082
Anopheles culicifacies;#FF61C2
Anopheles epiroticus;#40B500
Anopheles annularis;#00A9FF
Anopheles koliensis;#F07E4C
Anopheles latens;#998EFF
Anopheles subpictus;#00B8E7
Anopheles farauti;#FF6B95
Anopheles punctulatus;#00C19A
Anopheles splendidus;firebrick1
Anopheles nivipes;#00BC58
Anopheles pseudojamesi;#BA82FF
Gambiae;#B4A000
Funestus;#D376FF
Nili;#FF61CC
Pseudopunctipennis;#59B300
Nuneztovar;firebrick1
Albitarsus;firebrick4
Oswaldoi;peachpuff3
Quadrimaculatus;lightcoral
Freeborni;gray46
Annularis;orange
Culicifacies;blue3
Aconitus;#00BF75
Subpictus;plum
Dirus;pink
Maculatus;burlywood3
Minimus;limegreen
Barbirostris;darkviolet
Sundaicus;deeppink4
Leucosphyrus;forestgreen
Stephensi;sienna4
punctulatus;#00B1F4
Nivipes;yellow3
